file,line,snippet,alias_documented_in_file
01-strategic-vision\04-lean-canvas\README.md,42,"3. Invoke the skill through your runner. The skill reads context files, populates all nine canvas blocks, generates the Impact Map and Hypothesis Board, and wri",False
01-strategic-vision\04-lean-canvas\SKILL.md,45,"| **Inputs** | `../project_context/vision.md`, `../project_context/features.md`, `../project_context/stakeholders.md` (optional) |",False
01-strategic-vision\04-lean-canvas\SKILL.md,46,| **Output** | `../output/Lean_Canvas.md` |,False
01-strategic-vision\04-lean-canvas\SKILL.md,54,"| `vision.md` | `../project_context/vision.md` | **Required** | Problem domain, target users, business goals, constraints |",False
01-strategic-vision\04-lean-canvas\SKILL.md,55,| `features.md` | `../project_context/features.md` | Recommended | Feature list for Solution and Deliverables blocks |,False
01-strategic-vision\04-lean-canvas\SKILL.md,56,| `stakeholders.md` | `../project_context/stakeholders.md` | Optional | Stakeholder roles for actor identification in Impact Map |,False
01-strategic-vision\04-lean-canvas\SKILL.md,62,"| `Lean_Canvas.md` | `../output/Lean_Canvas.md` | Complete Lean Canvas, Impact Map, and Hypothesis Board |",False
01-strategic-vision\04-lean-canvas\SKILL.md,70,Read `vision.md` and `features.md` from `../project_context/`. Optionally read `stakeholders.md`. Log the absolute path of each file read. Halt execution if `vi,False
01-strategic-vision\04-lean-canvas\SKILL.md,212,Assemble the complete Lean Canvas document and write it to `../output/Lean_Canvas.md`.,False
01-strategic-vision\04-lean-canvas\SKILL.md,268,- [ ] `Lean_Canvas.md` exists in `../output/`,False
01-strategic-vision\04-lean-canvas\SKILL.md,282,| Upstream | `00-meta-initialization` | Requires `methodology.md` in `../project_context/` |,False
02-requirements-engineering\README.md,162,# Populate ../project_context/*.md files,False
02-requirements-engineering\agile\README.md,5,The canonical runtime workspace for this pipeline is `projects/<ProjectName>/`. References inside older skill-local files to `../project_context/` and `../outpu,False
02-requirements-engineering\fundamentals\README.md,134,### Inputs (from `../project_context/`),False
02-requirements-engineering\fundamentals\README.md,145,### Outputs (to `../output/`),False
02-requirements-engineering\waterfall\README.md,5,The canonical runtime workspace for this pipeline is `projects/<ProjectName>/`. References inside older skill-local files to `../project_context/` and `../outpu,False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,39,This skill reads from `../project_context/`:,False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,53,This skill writes to `../output/`:,False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,86,"1. Read `../project_context/personas.md`. If missing, prompt user:",False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,101,1. Parse `../project_context/features.md` to identify **Epics** (large features requiring multiple sprints),False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,108,3. Create epic hierarchy in `../output/epic_breakdown.md`,False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,209,Generate `../output/story_map.mmd` using **Jeff Patton's Story Mapping** approach:,False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,233,### File: `../output/user_stories.md`,False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,312,[Link to ../project_context/personas.md],False
02-requirements-engineering\agile\01-user-story-generation\SKILL.md,315,### File: `../output/backlog_summary.md`,False
02-requirements-engineering\agile\02-acceptance-criteria\README.md,9,"1. Read `../output/user_stories.md` and extract all user stories by their US-XXX identifiers, parsing the role-action-value triad from each.",False
02-requirements-engineering\agile\02-acceptance-criteria\README.md,10,"2. Generate 3--5 acceptance criteria per story in Given-When-Then format, covering the happy path, error/edge cases, and boundary conditions. If `../project_con",False
02-requirements-engineering\agile\02-acceptance-criteria\README.md,12,4. Write the complete criteria set to `../output/acceptance_criteria.md` with cross-references back to each originating story and epic.,False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,23,"Execute this skill after `01-user-story-generation` has produced `../output/user_stories.md`. Each user story in that file shall already follow the ""As a / I wa",False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,27,"- **Inputs:** `../output/user_stories.md` (required), `../project_context/quality_standards.md` (optional, for NFR criteria)",False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,28,- **Output:** `../output/acceptance_criteria.md`,False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,35,"| `user_stories.md` | `../output/` | User stories with ""As a / I want / So that"" triads | Yes |",False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,36,"| `quality_standards.md` | `../project_context/` | NFR targets for performance, security, and reliability thresholds | No |",False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,42,| `acceptance_criteria.md` | `../output/` | Gherkin-format acceptance criteria cross-referenced to story IDs |,False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,46,1. **Read upstream output.** Open `../output/user_stories.md` and log the file path to confirm the read succeeded.,False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,52,"4. **Append NFR criteria.** If `../project_context/quality_standards.md` exists, read it and append non-functional acceptance criteria with measurable threshold",False
02-requirements-engineering\agile\02-acceptance-criteria\SKILL.md,54,"6. **Write output.** Write `../output/acceptance_criteria.md` with each story's criteria grouped under its US-XXX identifier, including cross-references back to",False
02-requirements-engineering\agile\03-story-mapping\README.md,9,1. Ensure `../output/user_stories.md` and `../output/epic_breakdown.md` exist. Run `01-user-story-generation` first if they are missing.,False
02-requirements-engineering\agile\03-story-mapping\README.md,11,3. Verify that `../output/story_map.md` and `../output/story_map.mmd` were generated. Confirm the Mermaid diagram renders without syntax errors.,False
02-requirements-engineering\agile\03-story-mapping\SKILL.md,27,"- **Inputs:** `../output/user_stories.md`, `../output/epic_breakdown.md`",False
02-requirements-engineering\agile\03-story-mapping\SKILL.md,28,"- **Outputs:** `../output/story_map.md`, `../output/story_map.mmd`",False
02-requirements-engineering\agile\03-story-mapping\SKILL.md,35,| `user_stories.md` | `../output/user_stories.md` | Yes |,False
02-requirements-engineering\agile\03-story-mapping\SKILL.md,36,| `epic_breakdown.md` | `../output/epic_breakdown.md` | Yes |,False
02-requirements-engineering\agile\03-story-mapping\SKILL.md,47,1. **Read inputs.** Parse `../output/user_stories.md` and `../output/epic_breakdown.md`. Log the absolute path and line count of each file read.,False
02-requirements-engineering\agile\04-backlog-prioritization\README.md,9,"1. Read `../output/user_stories.md`, `../project_context/vision.md`, and optionally `../output/story_map.md`. Log all paths.",False
02-requirements-engineering\agile\04-backlog-prioritization\README.md,12,"4. Write `../output/prioritized_backlog.md` and `../output/release_plan.md` with scoring tables, sprint allocations, and dependency notes.",False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,30,"- **Inputs:** `../output/user_stories.md`, `../project_context/vision.md`, optionally `../output/story_map.md`",False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,31,"- **Outputs:** `../output/prioritized_backlog.md`, `../output/release_plan.md`",False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,38,| `user_stories.md` | `../output/` | Yes |,False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,39,| `vision.md` | `../project_context/` | Yes |,False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,40,| `story_map.md` | `../output/` | Optional |,False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,46,"| `prioritized_backlog.md` | MoSCoW classification, WSJF scores, dependency notes | `../output/` |",False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,47,"| `release_plan.md` | Sprint-by-sprint allocation, milestones, capacity, risk flags | `../output/` |",False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,53,"Read `../output/user_stories.md` and `../project_context/vision.md`. If `../output/story_map.md` exists, read it for journey and dependency context. Log every f",False
02-requirements-engineering\agile\04-backlog-prioritization\SKILL.md,97,"Write `../output/prioritized_backlog.md` and `../output/release_plan.md` following the output format below. Log story count, sprint count, and Must-Have percent",False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,24,- When requirements artifacts in `../output/` have reached a stable state suitable for baselining.,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,30,"- **Inputs:** All artifacts in `../output/`, `../project_context/vision.md`, `../project_context/stakeholder_register.md`",False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,31,"- **Outputs:** `../output/requirements_baseline.md`, `../output/change_control_process.md`",False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,38,| All `*.md` artifacts | `../output/` | Yes |,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,39,| `vision.md` | `../project_context/` | Yes |,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,40,| `stakeholder_register.md` | `../project_context/` | Optional |,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,46,| `requirements_baseline.md` | Versioned snapshot of all requirements with state tracking | `../output/` |,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,47,"| `change_control_process.md` | Change request format, impact analysis, approval workflow | `../output/` |",False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,53,Read every file in `../output/` and `../project_context/vision.md`. Log each file path read. Catalog every requirement identifier found across all artifacts. If,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,158,Write `../output/requirements_baseline.md` and `../output/change_control_process.md` following the output format below.,False
02-requirements-engineering\fundamentals\after\08-requirements-management\SKILL.md,269,- [ ] Every requirement in `../output/` has a unique identifier in the inventory.,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,31,"- **Inputs:** `../project_context/vision.md`, `../project_context/stakeholder_register.md`, all `../output/` artifacts",False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,32,- **Outputs:** `../output/traceability_matrix.md`,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,39,| `vision.md` | `../project_context/` | Yes |,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,40,| `stakeholder_register.md` | `../project_context/` | Yes |,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,41,| All `*.md` artifacts | `../output/` | Yes |,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,42,| `requirements_baseline.md` | `../output/` | Recommended |,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,48,| `traceability_matrix.md` | Four-level trace matrix with gap analysis and coverage metrics | `../output/` |,False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,54,"Read `../project_context/vision.md`, `../project_context/stakeholder_register.md`, and every artifact in `../output/`. Log each file path read. Extract:",False
02-requirements-engineering\fundamentals\after\09-traceability-engineering\SKILL.md,146,Write `../output/traceability_matrix.md` following the output format below.,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,30,"- **Inputs:** All artifacts in `../output/`, `../project_context/vision.md`",False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,31,- **Outputs:** `../output/requirements_metrics_report.md`,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,38,| All `*.md` artifacts | `../output/` | Yes |,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,39,| `vision.md` | `../project_context/` | Yes |,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,40,| `traceability_matrix.md` | `../output/` | Recommended |,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,41,| `requirements_baseline.md` | `../output/` | Recommended |,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,47,"| `requirements_metrics_report.md` | Per-metric scores, overall gate verdict, remediation guidance | `../output/` |",False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,53,Read every file in `../output/` and `../project_context/vision.md`. Log each file path read. Build a consolidated requirements inventory with all requirement id,False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,144,"A user story passes INVEST when it satisfies all six criteria: Independent, Negotiable, Valuable, Estimable, Small, Testable. Apply only when user stories exist",False
02-requirements-engineering\fundamentals\after\10-requirements-metrics\SKILL.md,184,Write `../output/requirements_metrics_report.md` following the output format below.,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,30,"- **Inputs:** All artifacts in `../output/`, `../project_context/vision.md`",False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,31,- **Outputs:** `../output/requirements_library.md`,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,38,| All `*.md` artifacts | `../output/` | Yes |,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,39,| `vision.md` | `../project_context/` | Yes |,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,40,| `requirements_baseline.md` | `../output/` | Recommended |,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,41,| `traceability_matrix.md` | `../output/` | Recommended |,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,47,| `requirements_library.md` | Reusable requirements catalog with classification and adaptation guidelines | `../output/` |,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,53,Read every file in `../output/` and `../project_context/vision.md`. Log each file path read. Build a consolidated list of all requirements with their full defin,False
02-requirements-engineering\fundamentals\after\11-requirements-reuse\SKILL.md,181,Write `../output/requirements_library.md` following the output format below.,False
02-requirements-engineering\fundamentals\after\12-solution-evaluation-and-transition\SKILL.md,32,"| **Inputs** | `../output/validation_report.md`, `../output/Deployment_Guide.md` (optional), `../output/Runbook.md` (optional), `../output/Test_Report.md` (opti",False
02-requirements-engineering\fundamentals\after\12-solution-evaluation-and-transition\SKILL.md,33,| **Output** | `../output/solution_evaluation_transition_plan.md` |,False
02-requirements-engineering\fundamentals\after\12-solution-evaluation-and-transition\SKILL.md,87,"Write `../output/solution_evaluation_transition_plan.md` with transition actions, readiness gaps, decision criteria, and evaluation metrics.",False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,32,"| **Inputs** | `../project_context/vision.md`, `../project_context/features.md` |",False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,33,| **Output** | `../output/stakeholder_register.md` |,False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,41,"| vision.md | `../project_context/vision.md` | Yes | Business goals, problem statement, constraints, target audience |",False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,42,| features.md | `../project_context/features.md` | Yes | Feature list to identify impacted user groups and technical domains |,False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,48,"| stakeholder_register.md | `../output/stakeholder_register.md` | Complete stakeholder register with classification, communication plan, and RACI matrix |",False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,56,"Read `vision.md` and `features.md` from `../project_context/`. Log every file path read. If either file is missing, halt execution and report the gap to the use",False
02-requirements-engineering\fundamentals\before\01-stakeholder-analysis\SKILL.md,176,"Assemble all sections and write the completed document to `../output/stakeholder_register.md`. Log the total stakeholder count, the number of gaps flagged, and ",False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,33,"| **Inputs** | `../output/stakeholder_register.md`, `../project_context/vision.md`, `../project_context/features.md` |",False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,34,| **Output** | `../output/elicitation_log.md` |,False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,42,"| stakeholder_register.md | `../output/stakeholder_register.md` | Yes | Stakeholder roles, communication preferences, engagement levels |",False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,43,"| vision.md | `../project_context/vision.md` | Yes | Business goals, problem statement, domain context |",False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,44,| features.md | `../project_context/features.md` | Yes | Feature list for elicitation scoping |,False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,45,| glossary.md | `../project_context/glossary.md` | No | Domain terminology for consistent language |,False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,51,"| elicitation_log.md | `../output/elicitation_log.md` | Structured findings with source attribution, technique used, and confidence levels |",False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,59,"Read `stakeholder_register.md` from `../output/`, and `vision.md` and `features.md` from `../project_context/`. Optionally read `glossary.md`. Log every file pa",False
02-requirements-engineering\fundamentals\before\02-elicitation-toolkit\SKILL.md,243,"Assemble all findings and write to `../output/elicitation_log.md`. Log the total finding count, technique(s) used, and the number of unresolved items.",False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,32,"| **Inputs** | `../project_context/vision.md`, `../project_context/features.md`, `../output/stakeholder_register.md`, `../output/elicitation_log.md` |",False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,33,| **Output** | `../output/brd.md` |,False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,42,"| vision.md | `../project_context/vision.md` | Yes | Business goals, problem statement, constraints |",False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,43,| features.md | `../project_context/features.md` | Yes | Feature list with descriptions |,False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,44,"| stakeholder_register.md | `../output/stakeholder_register.md` | Yes | Stakeholder roles, classifications, communication plan |",False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,45,| elicitation_log.md | `../output/elicitation_log.md` | No | Elicitation findings with source attribution |,False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,46,| glossary.md | `../project_context/glossary.md` | No | Domain terminology (IEEE 610.12) |,False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,52,| brd.md | `../output/brd.md` | Complete Business Requirements Document |,False
02-requirements-engineering\fundamentals\before\03-brd-generation\SKILL.md,206,"Write the completed document to `../output/brd.md`. Log the total count of business objectives, requirements, rules, and process flows.",False
02-requirements-engineering\fundamentals\before\04-business-analysis-planning\SKILL.md,32,"| **Inputs** | `../project_context/vision.md`, `../output/stakeholder_register.md` (recommended), `../project_context/features.md`, `../project_context/constrai",False
02-requirements-engineering\fundamentals\before\04-business-analysis-planning\SKILL.md,33,| **Output** | `../output/business_analysis_plan.md` |,False
02-requirements-engineering\fundamentals\before\04-business-analysis-planning\SKILL.md,103,"Write `../output/business_analysis_plan.md` with the sections below. Log the analysis activities planned, the stakeholder groups engaged, and all unresolved gov",False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,32,"| **Inputs**    | `../output/elicitation_log.md`, `vision.md`, `features.md`, `business_rules.md` |",False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,33,| **Output**    | `../output/requirements_analysis_report.md`                            |,False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,41,| elicitation_log.md | `../output/elicitation_log.md`            | Yes      | Raw requirements gathered from stakeholders       |,False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,42,| vision.md          | `../project_context/vision.md`            | Yes      | Business goals for traceability and prioritization|,False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,43,| features.md        | `../project_context/features.md`          | Yes      | Feature descriptions for classification           |,False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,44,| business_rules.md  | `../project_context/business_rules.md`    | No       | Business rules for conflict detection             |,False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,50,"| requirements_analysis_report.md| `../output/requirements_analysis_report.md`    | Complete analysis with classification, conflicts, feasibility, and prioritiz",False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,58,"Read `elicitation_log.md`, `vision.md`, `features.md`, and optionally `business_rules.md` from `../project_context/`. Assign a temporary identifier (e.g., RAW-0",False
02-requirements-engineering\fundamentals\during\04-requirements-analysis\SKILL.md,152,"Write the completed analysis to `../output/requirements_analysis_report.md` using the output format below. Log summary statistics: total requirements, classific",False
02-requirements-engineering\fundamentals\during\05-conceptual-data-modeling\SKILL.md,33,"| **Inputs**    | `../project_context/features.md`, `business_rules.md`, `elicitation_log.md`, `glossary.md` |",False
02-requirements-engineering\fundamentals\during\05-conceptual-data-modeling\SKILL.md,34,| **Output**    | `../output/conceptual_data_model.md`                                   |,False
02-requirements-engineering\fundamentals\during\05-conceptual-data-modeling\SKILL.md,42,| features.md        | `../project_context/features.md`          | Yes      | Feature descriptions containing entity references |,False
02-requirements-engineering\fundamentals\during\05-conceptual-data-modeling\SKILL.md,43,| business_rules.md  | `../project_context/business_rules.md`    | Yes      | Business rules defining entity constraints        |,False
02-requirements-engineering\fundamentals\during\05-conceptual-data-modeling\SKILL.md,44,| elicitation_log.md | `../project_context/elicitation_log.md`   | No       | Raw stakeholder statements with domain vocabulary |,False
